place_standardized_id,place_standardized,country_code,place_standardized_cc,authority_file_uri,latitude,longitude,region
66,Adorf,DE,Adorf DE,http://sws.geonames.org/2959387/,51.35983,8.80539,D
67,Adorf/Vogtl.,DE,Adorf/Vogtl. DE,http://sws.geonames.org/8533755/,50.32048,12.25602,D
68,Adorp,NL,Adorp NL,http://sws.geonames.org/2759967/,53.275,6.53333,A
69,Adra,ES,Adra ES,http://sws.geonames.org/2522430/,36.74961,-3.02055,G
70,Aduard,NL,Aduard NL,http://sws.geonames.org/2759961/,53.25667,6.45972,A
71,Aerdenburg,NL,Aerdenburg NL,http://sws.geonames.org/6544770/,51.895,6.075,A
72,Ærø,DK,Ærø DK,http://sws.geonames.org/2625003/,54.88333,10.33333,C
73,Aerzen,DE,Aerzen DE,http://sws.geonames.org/2959374/,52.04953,9.25856,B
74,Afferden,NL,Afferden NL,http://sws.geonames.org/2759945/,51.88,5.63472,A
75,Affligem,BE,Affligem BE,http://sws.geonames.org/6639685/,50.90942,4.11163,A
76,Affoltern,CH,Affoltern CH,http://sws.geonames.org/2661842/,47.27743,8.45128,D
77,Africa,--,Africa --,http://sws.geonames.org/6255146/,7.1881,21.09375,0
78,Afterode,DE,Afterode DE,http://sws.geonames.org/2959325/,50.78753,9.32117,D
79,Agel,FR,Agel FR,http://sws.geonames.org/3038636/,43.33745,2.85343,F
80,Agen,FR,Agen FR,http://sws.geonames.org/3038634/,44.19991,0.62664,F
81,Ahaus,DE,Ahaus DE,http://sws.geonames.org/2959279/,52.07936,7.01344,B
82,Ahausen,DE,Ahausen DE,http://sws.geonames.org/2959272/,53.06667,9.31667,B
83,Ahlbeck,DE,Ahlbeck DE,http://sws.geonames.org/2959244/,53.66972,14.18622,B
84,Ahlefeld,DE,Ahlefeld DE,http://sws.geonames.org/2959227/,54.40367,9.67889,B
85,Ahlem,DE,Ahlem DE,http://sws.geonames.org/2959226/,52.37811,9.66436,B
86,Ahlen,DE,Ahlen DE,http://sws.geonames.org/2959223/,51.76338,7.8887,B
87,Ahlenberg,DE,Ahlenberg DE,http://sws.geonames.org/2959217/,51.42768,7.46495,D
88,Ahlstädt,DE,Ahlstädt DE,http://sws.geonames.org/2959174/,50.53333,10.68333,D
89,Ahlten,DE,Ahlten DE,http://sws.geonames.org/2959172/,52.36669,9.90932,B
90,Ahrensburg,DE,Ahrensburg DE,http://sws.geonames.org/2959083/,53.67515,10.22593,B
91,Ahrensdorf,DE,Ahrensdorf DE,http://sws.geonames.org/2959076/,53.11211,13.57661,B
92,Ahrweiler,DE,Ahrweiler DE,http://sws.geonames.org/2959047/,50.54169,7.09549,D
93,Åhus,SE,Åhus SE,http://sws.geonames.org/2727363/,55.91667,14.28333,C
94,Aimargues,FR,Aimargues FR,http://sws.geonames.org/3038427/,43.68448,4.20999,F
95,Airth,GB,Airth GB,http://sws.geonames.org/2657592/,56.06983,-3.77209,E
96,Aix-en-Provence,FR,Aix-en-Provence FR,http://sws.geonames.org/3038354/,43.5283,5.44973,F
97,Aken,DE,Aken DE,http://sws.geonames.org/2958781/,51.85274,12.04461,D
98,Akersloot,NL,Akersloot NL,http://sws.geonames.org/2759931/,52.56083,4.73333,A
99,Akkerwoude,NL,Akkerwoude NL,http://sws.geonames.org/2759924/,53.28333,5.98333,A
100,Akkrum,NL,Akkrum NL,http://sws.geonames.org/2759922/,53.05024,5.83087,A
101,Alach,DE,Alach DE,http://sws.geonames.org/2958774/,50.98628,10.92981,D
102,Åland,FI,Åland FI,http://sws.geonames.org/661485/,60.25,20,C
103,Alba,IT,Alba IT,http://sws.geonames.org/3183364/,44.6999,8.0347,H
104,Albachten,DE,Albachten DE,http://sws.geonames.org/2958755/,51.92109,7.52831,B
105,Albanië,AL,Albanië AL,http://sws.geonames.org/783754/,41,20,I
106,Alberode,DE,Alberode DE,http://sws.geonames.org/2958728/,51.18294,9.93769,D
107,Albersdorf,DE,Albersdorf DE,http://sws.geonames.org/2958710/,54.15,9.28333,B
108,Albersloh,DE,Albersloh DE,http://sws.geonames.org/2958704/,51.86783,7.73768,B
109,Albersweiler,DE,Albersweiler DE,http://sws.geonames.org/2958696/,49.21917,8.03,D
110,Albi,FR,Albi FR,http://sws.geonames.org/3038261/,43.9298,2.148,F
111,Albing,AT,Albing AT,http://sws.geonames.org/2782823/,48.22645,14.54641,D
112,Alblasserdam,NL,Alblasserdam NL,http://sws.geonames.org/2759915/,51.86583,4.66111,A
113,Alblasserwaard,NL,Alblasserwaard NL,http://sws.geonames.org/2759913/,51.88333,4.83333,A
114,Alburgh,GB,Alburgh GB,http://sws.geonames.org/2657569/,52.43629,1.33304,E
115,Aldeboarn,NL,Aldeboarn NL,http://sws.geonames.org/2749669/,53.05,5.9,A
116,Aldekerk,DE,Aldekerk DE,http://sws.geonames.org/2958584/,51.43956,6.41662,B
117,Aldenburg,DE,Aldenburg DE,http://sws.geonames.org/2958582/,53.53645,8.07575,B
118,Alem,NL,Alem NL,http://sws.geonames.org/2759906/,51.78667,5.34306,A
119,Alençon,FR,Alençon FR,http://sws.geonames.org/3038230/,48.43476,0.09311,F
120,Alendorf,DE,Alendorf DE,http://sws.geonames.org/2958561/,50.36803,6.63723,D
121,Alendorp,NL,Alendorp NL,http://sws.geonames.org/2759905/,52.0925,5.03472,A
122,Aleppo,SY,Aleppo SY,http://sws.geonames.org/170063/,36.20124,37.16117,0
123,Alexandrië,EG,Alexandrië EG,http://sws.geonames.org/361058/,31.20176,29.91582,0
124,Alfeld,DE,Alfeld DE,http://sws.geonames.org/2958533/,51.98382,9.81989,B
125,Alfen,DE,Alfen DE,http://sws.geonames.org/2958532/,51.6527,8.69993,D
126,Alfert,DE,Alfert DE,http://sws.geonames.org/2958526/,51.36667,8.41667,D
127,Algiers,DZ,Algiers DZ,http://sws.geonames.org/2507480/,36.73225,3.08746,0
128,Alicante,ES,Alicante ES,http://sws.geonames.org/2521978/,38.34517,-0.48149,G
129,Alinghuizen,NL,Alinghuizen NL,http://sws.geonames.org/2759902/,53.3125,6.50139,A
130,Alkmaar,NL,Alkmaar NL,http://sws.geonames.org/2759899/,52.63167,4.74861,A
131,Allendorf,DE,Allendorf DE,http://sws.geonames.org/2958438/,51.02995,8.67232,D
132,Almelo,NL,Almelo NL,http://sws.geonames.org/2759887/,52.35667,6.6625,A
133,Almen,NL,Almen NL,http://sws.geonames.org/2759884/,52.15833,6.3,A
134,Almeria,ES,Almeria ES,http://sws.geonames.org/2521886/,36.83814,-2.45974,G
135,Almkerk,NL,Almkerk NL,http://sws.geonames.org/2759878/,51.77083,4.95972,A
136,Alpen,DE,Alpen DE,http://sws.geonames.org/6553043/,51.5833,6.51667,B
137,Alphen aan de Maas,NL,Alphen aan de Maas NL,http://sws.geonames.org/2759877/,51.48167,4.95833,A
138,Alphen aan den Rijn,NL,Alphen aan den Rijn NL,http://sws.geonames.org/2759875/,52.12917,4.65546,A
139,Alphen,NL,Alphen NL,http://sws.geonames.org/2759877/,51.48167,4.95833,A
140,Alphen-Chaam,NL,Alphen-Chaam NL,http://sws.geonames.org/2759877/,51.48167,4.95833,A
141,Als,DK,Als DK,http://sws.geonames.org/2624788/,56.75511,10.29095,C
142,Alsace,FR,Alsace FR,http://sws.geonames.org/3038033/,48.33333,7.43333,D
143,Alsdorf,DE,Alsdorf DE,http://sws.geonames.org/2958141/,50.87673,6.16399,D
144,Alsemberg,BE,Alsemberg BE,http://sws.geonames.org/2803266/,50.74134,4.33754,A
145,Alsenz,DE,Alsenz DE,http://sws.geonames.org/2958134/,49.71667,7.81667,D
146,Alsfeld,DE,Alsfeld DE,http://sws.geonames.org/2958128/,50.75185,9.27082,D
147,Alsheim,DE,Alsheim DE,http://sws.geonames.org/2958126/,49.76806,8.34028,D
148,Alsleben,DE,Alsleben DE,http://sws.geonames.org/2958121/,51.70161,11.67648,D
149,Alstätte,DE,Alstätte DE,http://sws.geonames.org/2958112/,52.12304,6.91348,A
150,Alten-Buseck,DE,Alten-Buseck DE,http://sws.geonames.org/2957761/,50.62218,8.75322,D
151,Altena,DE,Altena DE,http://sws.geonames.org/2957886/,51.29472,7.67337,D
152,Altenbamberg,DE,Altenbamberg DE,http://sws.geonames.org/2957869/,49.78333,7.83333,D
153,Altenbeken,DE,Altenbeken DE,http://sws.geonames.org/2957864/,51.76455,8.94201,B
154,Altenbeuren,DE,Altenbeuren DE,http://sws.geonames.org/2957824/,47.78575,9.32549,D
155,Altenbruch,DE,Altenbruch DE,http://sws.geonames.org/2957812/,53.82396,8.77199,B
156,Altenburg,DE,Altenburg DE,http://sws.geonames.org/2957773/,50.98763,12.43684,D
157,Altendorf,DE,Altendorf DE,http://sws.geonames.org/6556729/,49.8,11.0167,D
158,Altengamme,DE,Altengamme DE,http://sws.geonames.org/2957686/,53.43167,10.27485,B
159,"Altengronau, Sinntal",DE,"Altengronau, Sinntal DE",http://sws.geonames.org/2957669/,50.25011,9.6159,D
160,Altenheim,FR,Altenheim FR,http://sws.geonames.org/3038022/,48.71962,7.46272,D
161,Altenhofen,DE,Altenhofen DE,http://sws.geonames.org/2957594/,49.19803,11.21095,D
162,Altenrath,DE,Altenrath DE,http://sws.geonames.org/2957512/,50.85882,7.19524,D
163,Altenrüthen,DE,Altenrüthen DE,http://sws.geonames.org/2957492/,51.49622,8.40828,D
164,Altenwalde,DE,Altenwalde DE,http://sws.geonames.org/2957425/,53.81834,8.66213,B
165,Altenweddingen,DE,Altenweddingen DE,http://sws.geonames.org/2957422/,51.99883,11.52946,D
166,Alterode,DE,Alterode DE,http://sws.geonames.org/2957341/,51.67552,11.38362,D
167,Altfunnixsiel,DE,Altfunnixsiel DE,http://sws.geonames.org/2957202/,53.65272,7.78029,B
168,Althofen,AT,Althofen AT,http://sws.geonames.org/2782645/,46.87298,14.47449,D
169,Alting,NL,Alting NL,http://sws.geonames.org/2759857/,52.86583,6.53889,A
170,Altkirch,FR,Altkirch FR,http://sws.geonames.org/3038012/,47.61667,7.25,D
171,Altlandsberg,DE,Altlandsberg DE,http://sws.geonames.org/2957051/,52.56503,13.72815,B
172,Altleisnig,DE,Altleisnig DE,http://sws.geonames.org/2957038/,51.17533,12.89772,D
173,Altmark,DE,Altmark DE,https://www.wikidata.org/wiki/Q442655,52.716666666667,11.4,B
174,Altona,DE,Altona DE,http://sws.geonames.org/11669492/,53.55018,9.94653,B
175,Altorf,FR,Altorf FR,http://sws.geonames.org/3038008/,48.52166,7.52787,D
176,Alverdissen,DE,Alverdissen DE,http://sws.geonames.org/2956737/,52.03143,9.1256,B
177,Alveringen,BE,Alveringen BE,http://sws.geonames.org/2803253/,50.97932,2.67751,A
178,Älvsborg,SE,Älvsborg SE,http://sws.geonames.org/2726265/,57.67306,11.86667,C
179,Alzen,FR,Alzen FR,http://sws.geonames.org/3037993/,42.9895,1.47146,F
180,Alzey,DE,Alzey DE,http://sws.geonames.org/2956710/,49.74657,8.11513,D
181,Alzheim,DE,Alzheim DE,http://sws.geonames.org/3207681/,50.29799,7.22867,D
182,Amager,DK,Amager DK,http://sws.geonames.org/2624740/,55.61667,12.61667,C
183,Amalfi,IT,Amalfi IT,http://sws.geonames.org/3183130/,40.6349,14.60238,H
184,Amas,BE,Amas BE,http://sws.geonames.org/2803249/,50.39797,5.41958,F
185,Amberg,DE,Amberg DE,http://sws.geonames.org/2956656/,49.44287,11.86267,D
186,Amboise,FR,Amboise FR,http://sws.geonames.org/3037902/,47.41249,0.98266,F
187,Ambon,ID,Ambon ID,http://sws.geonames.org/1651529/,-3.65947,128.16976,0
188,Ameide,NL,Ameide NL,http://sws.geonames.org/2759849/,51.955,4.9625,A
189,Ameland,NL,Ameland NL,http://sws.geonames.org/2759846/,53.44762,5.79256,A
190,Amelinghausen,DE,Amelinghausen DE,http://sws.geonames.org/2956584/,53.12397,10.21274,B
191,Amelsen,DE,Amelsen DE,http://sws.geonames.org/2956578/,51.83537,9.76227,B
192,Amen,NL,Amen NL,http://sws.geonames.org/2759838/,52.9425,6.61111,A
193,Amendingen,DE,Amendingen DE,http://sws.geonames.org/2956572/,48.00302,10.17918,D
194,Amerdingen,DE,Amerdingen DE,http://sws.geonames.org/2956564/,48.72572,10.48561,D
195,Amern,DE,Amern DE,http://sws.geonames.org/2956553/,51.23149,6.25088,D
196,Amerongen,NL,Amerongen NL,http://sws.geonames.org/2759828/,52.0025,5.45972,A
197,Amersfoort,NL,Amersfoort NL,http://sws.geonames.org/2759821/,52.155,5.3875,A
198,Amersham,GB,Amersham GB,http://sws.geonames.org/2657356/,51.66667,-0.61667,E
199,Amiens,FR,Amiens FR,http://sws.geonames.org/3037854/,49.9,2.3,F
200,Amiesn,FR,Amiesn FR,http://sws.geonames.org/6455273/,49.89194,2.29778,F
201,Amlishagen,DE,Amlishagen DE,http://sws.geonames.org/2956474/,49.26417,9.96222,D
202,Ammerstol,NL,Ammerstol NL,http://sws.geonames.org/2759815/,51.9275,4.80833,A
203,Ampsen,NL,Ampsen NL,http://sws.geonames.org/2759811/,52.17,6.42917,A
204,Amrum,DE,Amrum DE,http://sws.geonames.org/2956359/,54.65955,8.33951,C
205,Amstelland,NL,Amstelland NL,http://sws.geonames.org/2759802/,52.23333,4.88333,A
206,Amstelveen,NL,Amstelveen NL,http://sws.geonames.org/2759798/,52.30083,4.86389,A
207,Amsterdam,NL,Amsterdam NL,http://sws.geonames.org/2759794/,52.37403,4.88969,A
208,Ancona,IT,Ancona IT,http://sws.geonames.org/3183089/,43.5942,13.50337,H
209,Andel,NL,Andel NL,http://sws.geonames.org/2750453/,51.78333,5.05833,A
210,Anderlecht,BE,Anderlecht BE,http://sws.geonames.org/2803201/,50.83619,4.31454,A
211,Andernach,DE,Andernach DE,http://sws.geonames.org/2956206/,50.43109,7.40425,D
212,Andersleben,DE,Andersleben DE,http://sws.geonames.org/2956195/,52.01525,11.3003,B
213,Anderstorp,SE,Anderstorp SE,http://sws.geonames.org/2726032/,57.28333,13.63333,C
214,Andorra,AD,Andorra AD,http://sws.geonames.org/3041565/,42.55,1.58333,F
215,Ane,NL,Ane NL,http://sws.geonames.org/2759772/,52.61417,6.65139,A
216,Ängelholm,SE,Ängelholm SE,http://sws.geonames.org/2725901/,56.2428,12.86219,C
217,Angelroda,DE,Angelroda DE,http://sws.geonames.org/2956143/,50.74455,10.86659,D
218,Angerburg,PL,Angerburg PL,http://sws.geonames.org/756048/,54.21567,21.7372,B
219,Angeren,NL,Angeren NL,http://sws.geonames.org/2759765/,51.91583,5.95833,A
220,Angermünde,DE,Angermünde DE,http://sws.geonames.org/2956093/,53.01499,13.99924,B
221,Angers,FR,Angers FR,http://sws.geonames.org/3037656/,47.47381,-0.54774,F
222,Angleur,BE,Angleur BE,http://sws.geonames.org/2803183/,50.6113,5.59942,F
223,Angola,AO,Angola AO,http://sws.geonames.org/3351879/,-12.5,18.5,0
224,Angoulême,FR,Angoulême FR,http://sws.geonames.org/3037598/,45.65,0.15,F
225,Anhalt-Bernburg (vorstendom),DE,Anhalt-Bernburg (vorstendom) DE,https://www.wikidata.org/wiki/Q686965,51.79464,11.7401,D
226,Anhalt-Bernburg,DE,Anhalt-Bernburg DE,https://www.wikidata.org/wiki/Q686965,51.79464,11.7401,D
227,Anhalt-Dessau (vorstendom),DE,Anhalt-Dessau (vorstendom) DE,https://www.wikidata.org/wiki/Q278874,51.82138,12.24233,D
228,Anhalt-Dessau,DE,Anhalt-Dessau DE,https://www.wikidata.org/wiki/Q278874,51.82138,12.24233,D
229,Anhalt-Köthen (vorstendom),DE,Anhalt-Köthen (vorstendom) DE,https://www.wikidata.org/wiki/Q264970,51.75185,11.97093,D
230,Anhalt-Köthen,DE,Anhalt-Köthen DE,https://www.wikidata.org/wiki/Q264970,51.75185,11.97093,D
231,Anhalt-Zerbst (vorstendom),DE,Anhalt-Zerbst (vorstendom) DE,https://www.wikidata.org/wiki/Q706152,51.9662,12.08517,D
232,Anjou,FR,Anjou FR,http://sws.geonames.org/3037562/,45.34832,4.88635,F
233,Anjum,NL,Anjum NL,http://sws.geonames.org/2759757/,53.37475,6.12698,A
234,Ankeveen,NL,Ankeveen NL,http://sws.geonames.org/2759751/,52.265,5.09861,A
235,Anklam,DE,Anklam DE,http://sws.geonames.org/2956018/,53.85637,13.68965,B
236,Ankum,DE,Ankum DE,http://sws.geonames.org/2956014/,52.55,7.88333,B
237,Ankum,NL,Ankum NL,http://sws.geonames.org/2759747/,52.52167,6.24167,A
238,Anloo,NL,Anloo NL,http://sws.geonames.org/2759746/,53.04417,6.70139,A
239,Annaberg-Buchholz,DE,Annaberg-Buchholz DE,http://sws.geonames.org/2956005/,50.57953,13.00627,D
240,Anneburen,NL,Anneburen NL,http://sws.geonames.org/2759730/,53.06551,5.62187,A
241,Annecy,FR,Annecy FR,http://sws.geonames.org/3037543/,45.90621,6.1267,H
242,Annen,NL,Annen NL,http://sws.geonames.org/2759729/,53.0575,6.71944,A
243,Annweiler,DE,Annweiler DE,http://sws.geonames.org/6553293/,50.4,6.83333,D
244,Anrath,DE,Anrath DE,http://sws.geonames.org/2955947/,51.2789,6.45974,D
245,Anrode,DE,Anrode DE,http://sws.geonames.org/2955939/,51.26667,10.33333,D
246,Ansbach,DE,Ansbach DE,http://sws.geonames.org/2955936/,49.30481,10.5931,D
247,Anspach,DE,Anspach DE,http://sws.geonames.org/2955923/,50.30107,8.5102,D
248,Anstruther,GB,Anstruther GB,http://sws.geonames.org/2657267/,56.22315,-2.70229,E
249,Antibes,FR,Antibes FR,http://sws.geonames.org/3037456/,43.56241,7.12777,H
250,Antwerpen,BE,Antwerpen BE,http://sws.geonames.org/2803138/,51.21989,4.40346,A
251,Apeldoorn,NL,Apeldoorn NL,http://sws.geonames.org/2759706/,52.21,5.96944,A
252,Apen,DE,Apen DE,http://sws.geonames.org/2955817/,53.21667,7.8,B
253,Apenrade,DK,Apenrade DK,http://sws.geonames.org/2625070/,55.04434,9.41741,C
254,Apolda,DE,Apolda DE,http://sws.geonames.org/2955770/,51.02624,11.51638,D
255,Appel,NL,Appel NL,http://sws.geonames.org/2759700/,52.1875,5.54028,A
256,Appelscha,NL,Appelscha NL,http://sws.geonames.org/2759698/,52.95526,6.35053,A
257,Appeltern,NL,Appeltern NL,http://sws.geonames.org/2759693/,51.8325,5.58611,A
258,Appenheim,DE,Appenheim DE,http://sws.geonames.org/2955732/,49.93,8.03333,D
259,Appenrode,DE,Appenrode DE,http://sws.geonames.org/2955728/,51.57878,10.73381,D
260,Appenzell,CH,Appenzell CH,http://sws.geonames.org/2661740/,47.33103,9.40996,D
261,Appingedam,NL,Appingedam NL,http://sws.geonames.org/2759687/,53.32167,6.85833,A
262,Arbach,DE,Arbach DE,http://sws.geonames.org/2955701/,50.28333,7.05,D
263,Arboga,SE,Arboga SE,http://sws.geonames.org/2725471/,59.39387,15.83882,C
264,Årbogen,NO,Årbogen NO,http://sws.geonames.org/3162991/,64,10.48333,C
265,Arbon,CH,Arbon CH,http://sws.geonames.org/2661731/,47.51667,9.43333,D
266,Arcen,NL,Arcen NL,http://sws.geonames.org/2759684/,51.47667,6.18056,A
267,Archangel,RU,Archangel RU,http://sws.geonames.org/581049/,64.5401,40.5433,0
268,Archangelsk,RU,Archangelsk RU,http://sws.geonames.org/2759684/,51.47667,6.18056,A
269,Archem,NL,Archem NL,http://sws.geonames.org/2759681/,52.47583,6.44028,A
270,Arendal,NO,Arendal NO,http://sws.geonames.org/3162955/,58.46151,8.77253,C
271,Arendonk,BE,Arendonk BE,http://sws.geonames.org/2803083/,51.32267,5.08289,A
272,Arenshausen,DE,Arenshausen DE,http://sws.geonames.org/2955633/,51.37613,9.9687,D
273,Arenys de Mar,ES,Arenys de Mar ES,http://sws.geonames.org/3129661/,41.5819,2.54936,G
274,Argantan,FR,Argantan FR,http://sws.geonames.org/6452436/,48.74444,-0.02028,F
275,Argenteuil,FR,Argenteuil FR,http://sws.geonames.org/3037044/,48.95,2.25,F
276,Arguedes,ES,Arguedes ES,http://sws.geonames.org/3129587/,43.34821,-4.35245,G
277,Arholzen,DE,Arholzen DE,http://sws.geonames.org/2955598/,51.86667,9.56667,B
278,Århus,DK,Århus DK,http://sws.geonames.org/2624652/,56.15674,10.21076,C
279,Arkel,NL,Arkel NL,http://sws.geonames.org/2759673/,51.86417,4.99444,A
280,Arkens,NL,Arkens NL,http://sws.geonames.org/2759670/,53.19333,5.55179,A
281,Arkhangelsk,RU,Arkhangelsk RU,http://sws.geonames.org/2759684/,51.47667,6.18056,A
282,Arkum,NL,Arkum NL,http://sws.geonames.org/2759668/,53.02973,5.49986,A
283,Arles,FR,Arles FR,http://sws.geonames.org/3036938/,43.67681,4.63031,F
284,Armentiers,FR,Armentiers FR,http://sws.geonames.org/6450024/,50.68722,2.88028,A
285,Arneberg,NO,Arneberg NO,http://sws.geonames.org/3162916/,60.56667,12.06667,C
286,Arnemuiden,NL,Arnemuiden NL,http://sws.geonames.org/2759664/,51.50167,3.675,A
287,Arnhem,NL,Arnhem NL,http://sws.geonames.org/2759661/,51.98,5.91111,A
288,Arnoldshain,DE,Arnoldshain DE,http://sws.geonames.org/2955494/,50.26173,8.45164,D
289,Arnoldsweiler,DE,Arnoldsweiler DE,http://sws.geonames.org/2955486/,50.83809,6.48992,D
290,Arnouville,FR,Arnouville FR,http://sws.geonames.org/3036843/,48.98333,2.41667,F
291,Arnstadt,DE,Arnstadt DE,http://sws.geonames.org/2955439/,50.84048,10.95198,D
292,Arolsen,DE,Arolsen DE,http://sws.geonames.org/2955421/,51.37982,9.01445,D
293,Arosa,CH,Arosa CH,http://sws.geonames.org/2661712/,46.77793,9.67621,D
