das_voyage_id,direction,ship_name,ship_tonnage,chamber,departure_date,departure_place,arrival_date_cape,departure_date_cape,arrival_date,arrival_place
91128,outward,Nassau,320,Amsterdam,1602-06-17,Texel,nan,nan,1603-04-29,Bantam
91129,outward,Papegaaitje,50,Enkhuizen,1602-06-17,Texel,nan,nan,1603-04-29,Bantam
91130,outward,Ster,360,Amsterdam,1602-06-17,Texel,nan,nan,1603-03-10,Atjeh
91131,outward,Hollandse Tuin,360/440,Enkhuizen,1602-06-17,Texel,nan,nan,1603-03-10,Atjeh
91132,outward,(Grote) Zon,580,Amsterdam,1602-06-17,Texel,nan,nan,1603-04-29,Bantam
91133,outward,Eendracht,240,Delft,1602-06-18,Maas,nan,nan,1603-04-29,Bantam
91134,outward,Erasmus,540,Rotterdam,1602-06-18,Maas,nan,nan,1603-04-29,Bantam
91135,outward,Rotterdam,800,Rotterdam,1602-06-18,Maas,nan,nan,1603-04-29,Bantam
91136,outward,Amsterdam,700,Amsterdam,1603-12-18,Texel,nan,nan,1604-12-31,Bantam
91137,outward,Delft,300,Amsterdam,1603-12-18,Texel,nan,nan,1604,Atjeh
91138,outward,Dordrecht,900,Zeeland,1603-12-18,Wielingen,nan,nan,1604-12-31,Bantam
91139,outward,Duifje,60,Amsterdam,1603-12-18,Texel,nan,nan,1604-12-11,Bantam
91140,outward,Enkhuizen,300,Enkhuizen,1603-12-18,Texel,nan,nan,1605-08-21,Bantam
91141,outward,Gelderland,500,Amsterdam,1603-12-18,Texel,nan,nan,1604-12-31,Bantam
91142,outward,Hof Van Holland,360,Amsterdam,1603-12-18,Texel,nan,nan,nan,Madagascar
91143,outward,Hoorn,700,Hoorn,1603-12-18,Texel,nan,nan,1604-12-31,Bantam
91144,outward,Medemblik,250,Hoorn,1603-12-18,Texel,nan,nan,1604,Bantam
91145,outward,Geünieerde Provinciën,700,Amsterdam,1603-12-18,Texel,nan,nan,1604-12-31,Bantam
91146,outward,Westfriesland,700,Enkhuizen,1603-12-18,Texel,nan,nan,1604-12-31,Bantam
91147,outward,Zeelandia,500,Zeeland,1603-12-18,Wielingen,nan,nan,1604,Cambodia
91148,outward,Gouda,260,Amsterdam,1604-07-02,Texel,nan,nan,nan,
91149,outward,Eendracht,240,Delft,1605-05-12,,nan,nan,1606-07-13,Bantam
91150,outward,Witte Leeuw,540,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91151,outward,Zwarte Leeuw,600,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91152,outward,Mauritius,700,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91153,outward,Middelburg,600,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91154,outward,Nassau,320,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91155,outward,Oranje,700,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91156,outward,Grote Zon,540,Amsterdam,1605-05-12,Texel,nan,nan,1606-05-01,Johore
91157,outward,Amsterdam,700,Zeeland,1605-05-24,Wielingen,nan,nan,1606-05-01,Johore
91158,outward,Kleine Zon,220,Zeeland,1605-05-24,Wielingen,nan,nan,1606-05-01,Johore
91159,outward,Erasmus,540,Rotterdam,1605-05-30,Goeree,nan,nan,1606-07-14,Johore
91160,outward,Geünieerde Provinciën,400,Delft,1605-05-30,Goeree,nan,nan,1606-07-14,Johore
91161,outward,Banda,600/(800),Amsterdam,1606-04-20,Texel,nan,nan,1607-10-02,Goa
91162,outward,Bantam,700/(900),Amsterdam,1606-04-20,Texel,nan,nan,1607-10-02,Goa
91163,outward,Ceylon,340,Amsterdam,1606-04-20,Texel,nan,nan,1607-10-02,Goa
91164,outward,China,420,Hoorn,1606-04-20,Texel,nan,nan,1607-10-02,Goa
91165,outward,Patania,340,Enkhuizen,1606-04-20,Texel,nan,nan,1607-10-02,Goa
91166,outward,Ter Veere,700,Zeeland,1606-05-14,Wielingen,nan,nan,1607-10-02,Goa
91167,outward,Walcheren,700,Zeeland,1606-05-14,Wielingen,nan,nan,1607-10-02,Goa
91168,outward,Zierikzee,760,Zeeland,1606-05-14,Wielingen,nan,nan,nan,
91169,outward,Gelderland,500,Amsterdam,1606-12-13,Texel,nan,nan,nan,
91170,outward,Gouda,260,Amsterdam,1606-12-13,Texel,nan,nan,1608-01,Atjeh
91171,outward,Gelderland,700,Amsterdam,1607-04-26,Zeeland,nan,nan,1607-10-26,Malabar
91172,outward,Middelburg,800,Zeeland,1607-12-21,Wielingen,nan,nan,1608-09-18,Goa
91173,outward,Valk,140,Zeeland,1607-12-21,Wielingen,nan,nan,1608-09-18,Goa
91174,outward,Zeelandia,500,Zeeland,1607-12-21,Wielingen,nan,nan,1608-09-18,Goa
91175,outward,Amsterdam,700,Amsterdam,1607-12-22,Texel,nan,nan,1608-09-18,Goa
91176,outward,Arend,140,Amsterdam,1607-12-22,Texel,nan,nan,1608-09-18,Goa
91177,outward,Delft,800,Delft,1607-12-22,Goeree,nan,nan,1608-09-18,Goa
91178,outward,Griffioen,140,Rotterdam,1607-12-22,Goeree,nan,nan,1608-09-18,Goa
91179,outward,Hollandia,800,Amsterdam,1607-12-22,Texel,nan,nan,1608-09-18,Goa
91180,outward,Hoorn,700,Hoorn,1607-12-22,Texel,nan,nan,1608-09-18,Goa
91181,outward,Rode Leeuw Met Pijlen,400,Amsterdam,1607-12-22,Texel,nan,nan,1608-09-18,Goa
91182,outward,Pauw,140,Amsterdam,1607-12-22,Texel,nan,nan,1608-09-18,Goa
91183,outward,Geünieerde Provinciën,700,Amsterdam,1607-12-22,Texel,nan,nan,1608-09-19,Goa
91184,outward,Rotterdam,800,Rotterdam,1607-12-22,Goeree,nan,nan,1608-09-19,Goa
91185,outward,Medemblik,250,Amsterdam,1608,Texel,nan,nan,nan,Bantam
91186,outward,Hoop,80,Amsterdam,1608-04-15,Texel,nan,nan,1608-12-26,Bantam
91187,outward,Halve Maan,80,Amsterdam,1609-04-06,Texel,nan,nan,nan,
91188,outward,Hazewind,120,Enkhuizen,1609-23,Texel,nan,nan,1610-10-01,Bantam
91189,outward,Wapen Van Amsterdam,800,Amsterdam,1610-01-30,Texel,1610-06-28,1610-08-10,1610-12-19,Bantam
91190,outward,Brak,100,Enkhuizen,1610-01-30,Texel,nan,nan,nan,Bantam
91039,outward,Ceylon,340,Amsterdam,1610-01-30,Texel,nan,nan,1610-08-08,Mauritius
91040,outward,Ter Goes,240,Zeeland,1610-01-30,Wielingen,nan,nan,1610-12-10,Bantam
91041,outward,Witte Leeuw,540,Amsterdam,1610-01-30,Texel,nan,nan,1610-11-16,Bantam
91042,outward,Zwarte Leeuw,600,Amsterdam,1610-01-30,Texel,nan,nan,1610-11-16,Bantam
91043,outward,Oranje,700,Zeeland,1610-01-30,Wielingen,nan,nan,1610-11-16,Bantam
91044,outward,Vlissingen,600,Zeeland,1610-01-30,Wielingen,nan,nan,1610-11-16,Bantam
91045,outward,Gouda,260,Amsterdam,1610-12-28,Texel,nan,1611-06-04,1611-08-24,Bantam
91046,outward,Rode Leeuw Met Pijlen,400,Amsterdam,1610-12-28,Texel,nan,1611-06-04,1611-08-18,Bantam
91047,outward,Ter Veere,700,Zeeland,1610-12-28,Wielingen,nan,nan,1611-09-05,Bantam
91048,outward,Banda,800/(600),Amsterdam,1611-03-16,Texel,nan,nan,1612-02-02,Bantam
91049,outward,Bantam,900/(700),Enkhuizen,1611-05-02,Texel,nan,nan,1612-03-02,Bantam
91050,outward,Halve Maan,80,Amsterdam,1611-05-02,Texel,nan,nan,1612-02-02,Bantam
91051,outward,Grote Aeolus,300,Amsterdam,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91052,outward,Ceylon,340,Amsterdam,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91053,outward,Duifje,50,Amsterdam,1611-12-29,Texel,nan,nan,1612-10-24,Bantam
91054,outward,Gelderland,700,Amsterdam,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91191,outward,Groene Leeuw,140,Amsterdam,1611-12-29,Texel,nan,nan,1612-09-08,Pulicat
91192,outward,Rode Leeuw,400,Amsterdam,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91193,outward,Grote Maan,500,Amsterdam,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91194,outward,Patania,340,Enkhuizen,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91195,outward,Ster,160,Amsterdam,1611-12-29,Texel,nan,nan,1612-09-08,Pulicat
91196,outward,Zon,500,Amsterdam,1611-12-29,Texel,nan,nan,1612-11-28,Bantam
91197,outward,Oranje,700,Amsterdam,1612-01-02,Wielingen,nan,nan,1612-11-28,Bantam
91198,outward,Rotterdam,800,Rotterdam,1612-01-02,Goeree,nan,nan,1612-10-19,Bantam
91199,outward,Zeelandia,500,Zeeland,1612-01-02,Wielingen,nan,nan,1612-11-23,Bantam
91200,outward,Hoop,500,Amsterdam,1612-05-12,Texel,nan,nan,1613-02-09,Bantam
91201,outward,Geünieerde Provinciën,700,Amsterdam,1612-05-12,Texel,nan,nan,1613-02-09,Bantam
91202,outward,Arend,300,Amsterdam,1613-01-31,Texel,nan,nan,1614-01-04,Bantam
91203,outward,Hoorn,700,Hoorn,1613-01-31,Texel,nan,nan,1614-01-04,Bantam
91204,outward,Witte Valk,360,Amsterdam,1613-01-31,Texel,nan,nan,1614-01-04,Bantam
91205,outward,Neptunus,,Amsterdam,1613-04,,nan,nan,1614-08-16,Bantam
91206,outward,Kleine Aeolus,240,Rotterdam,1613-04-04,Maas,nan,nan,1614-10-31,Bantam
91207,outward,Middelburg,800,Zeeland,1613-04-04,Wielingen,nan,nan,1614-01-05,Bantam
91208,outward,Zeelandia,800,Zeeland,1613-04-04,Wielingen,1613-08-21,1613-09-03,1613-12-12,Bantam
91209,outward,Delft,800,Delft,1613-06-05,Goeree,nan,nan,1614-05-05,Bantam
91210,outward,Wapen Van Amsterdam,1000,Amsterdam,1613-07-02,Texel,nan,nan,1614-11-04,Bantam
91211,outward,Hollandia,800,Amsterdam,1613-07-02,Texel,nan,nan,1614-11-05,Bantam
91212,outward,Mauritius,800,Amsterdam,1613-07-02,Texel,nan,nan,1614-11-04,Bantam
91213,outward,Nassau,300,Amsterdam,1613-07-02,Texel,nan,nan,1614-12-30,Bantam
91214,outward,Hert,280,Rotterdam,1614-02-14,Maas,nan,nan,1614-08-07,Bantam
91215,outward,Vlissingen,600,Zeeland,1614-04-24,Wielingen,nan,nan,1615-12-02,Bantam
91216,outward,Walcheren,500/600,Zeeland,1614-04-24,Wielingen,nan,nan,1615-12-02,Bantam
91217,outward,Oranjeboom,360,Hoorn,1614-04-26,Texel,1614-11,nan,1615-04,Mauritius
91218,outward,Wapen Van Amsterdam,800,Amsterdam,1614-05-11,Texel,nan,nan,1615-12-02,Bantam
91219,outward,Engel,600,Delft,1614-05-15,Maas,nan,nan,1615-12-02,Bantam
91220,outward,Enkhuizen,500,Enkhuizen,1614-05-15,Texel,nan,nan,1615-03-13,Bantam
91221,outward,Grote Aeolus,320,Zeeland,1614-08-08,Wielingen,nan,nan,1616-03-30,Ternate
91222,outward,Jager,140,,1614-08-08,Texel,nan,nan,1616-03-30,Ternate
91223,outward,Grote Maan,600,Amsterdam,1614-08-08,Texel,nan,nan,1616-03-30,Ternate
91224,outward,Meeuwtje,60,Amsterdam,1614-08-08,Texel,nan,nan,nan,
91225,outward,Morgenster,300,Rotterdam,1614-08-08,Goeree,nan,nan,1616-03-30,Ternate
91226,outward,Grote Zon,600,Amsterdam,1614-08-08,Texel,nan,nan,1616-03-30,Ternate
91227,outward,Witte Beer,300,Amsterdam,1614-12-17,Texel,1615-04-14,1615-04-29,1615-12-02,Bantam
91228,outward,Zwarte Beer,320,Amsterdam,1614-12-17,Texel,1615-04-14,1615-04-29,1615-08-17,Pulicat
91229,outward,Dolfijn,280,Zeeland,1615-04-05,Wielingen,nan,nan,1616-03-01,Bantam
91230,outward,Ter Veere,700,Zeeland,1615-04-05,Wielingen,nan,nan,1616-01-05,Bantam
91231,outward,Bergerboot,280,Amsterdam,1615-05-18,Texel,nan,nan,1616-04-30,Bantam
91232,outward,Galiasse,280,Hoorn,1615-05-18,Texel,nan,nan,1616-04-30,Bantam
91233,outward,Zwarte Leeuw,600,Amsterdam,1615-05-18,Texel,nan,nan,1616-04-30,Bantam
91234,outward,Eendracht,360,,1615-06-14,Texel,nan,nan,1616-09-17,Ternate
91235,outward,Hoorn,110,,1615-06-14,Texel,nan,nan,nan,
91236,outward,Gouden Leeuw,550,Rotterdam,1616-01-21,Maas,1616-09-09,1616-09-18,1616-11-14,Bantam
91237,outward,Westfriesland,800,Hoorn,1616-01-22,Texel,1616-09-09,1616-09-18,1616-11-14,Bantam
91238,outward,Bantam,800,Enkhuizen,1616-01-23,Texel,nan,nan,1616-10-24,Bantam
91239,outward,Eendracht,700,Amsterdam,1616-01-23,Texel,1616-08-05,1616-08-27,1616-12-14,Macassar
91240,outward,Trouw,500,Amsterdam,1616-01-23,Texel,nan,nan,1616-10-19,Bantam
91241,outward,Wapen Van Zeeland,700,Zeeland,1616-02-07,Wielingen,nan,nan,1617-04-09,Bantam
91242,outward,Hert,280,Delft,1616-03-19,Goeree,1616-06-10,1616-07-03,1616-08-27,Bantam
91243,outward,Oranjeboom,360,Hoorn,1616-04-23,Texel,1616-10-20,1616-11-01,1617-04-09,Bantam
91244,outward,Eenhoorn,300,Amsterdam,1617-02-26,Texel,1617-07-05,1617-07-18,1617-10-23,Bantam
91245,outward,Goede Fortuin,700,Amsterdam,1617-02-26,Texel,nan,nan,1618-01-07,Bantam
91246,outward,Groene Leeuw,140,Amsterdam,1617-02-26,Texel,nan,nan,1617-10-26,Bantam
91247,outward,Postpaard,300,Enkhuizen,1617-02-26,Texel,1617-07-09,nan,1617-10-07,Bantam
91248,outward,Vosje,80,Amsterdam,1617-02-26,Texel,1617-07-11,nan,1617-10-23,Bantam
91249,outward,Zierikzee,800,Zeeland,1617-02-26,Wielingen,nan,nan,1618-01-07,Bantam
91250,outward,Witte Beer,300,Amsterdam,1617-04-22,Texel,1617-08-10,1617-08-25,1617-10-22,Bantam
91251,outward,Tijger,140,Amsterdam,1617-04-22,Texel,1617-08-10,1617-08-25,1617-10-22,Bantam
91252,outward,Zwarte Beer,320,Amsterdam,1617-10-31,Texel,1618-03-14,1618-03,1618-06-22,Pondicherry
91253,outward,Dolfijn,260,Zeeland,1617-11-07,Wielingen,nan,nan,1618-09-20,Masulipatnam
91254,outward,Ter Tholen,400,Zeeland,1617-11-07,Wielingen,nan,nan,1618-04-30,Bantam
91255,outward,Zeewolf,360,Amsterdam,1617-12-02,Texel,1618-03-08,1618-03-24,1618-07,Jacatra
91256,outward,Mauritius,800,Amsterdam,1618-01-04,Texel,nan,nan,1618-08-22,Bantam
91257,outward,Delft,800,Delft,1618-04-01,Goeree,nan,nan,1618-10-13,Bantam
91258,outward,Wapen Van Haarlem,360,Amsterdam,1618-05-04,Texel,nan,nan,nan,Bantam
91259,outward,Hert,280,Rotterdam,1618-06-01,Goeree,nan,nan,1619-01-16,Bantam
91260,outward,Westfriesland,800,Zeeland,1618-12-05,Wielingen,nan,nan,1619-09-13,Jacatra
91261,outward,Dordrecht,800,Amsterdam,1618-12-28,Texel,1619-05-17,1619-06-08,1619-09-03,Bantam
91262,outward,Eenhoorn,300,Amsterdam,1618-12-28,Texel,1619-04,1619-04,1619-07-06,Bantam
91263,outward,Enkhuizen,500,Enkhuizen,1618-12-28,Texel,nan,nan,nan,Coromandel
91264,outward,Hoorn,700,Hoorn,1618-12-28,Texel,nan,nan,nan,
91265,outward,Goede Hoop,600,Amsterdam,1618-12-28,Texel,1619-11-19,1619-11-26,1620-02-09,Jacatra
91266,outward,Postpaard,300,Amsterdam,1618-12-28,Texel,nan,nan,1619-09-19,Jacatra
91267,outward,Zeelandia,800,Amsterdam,1618-12-28,Wielingen,nan,nan,1619-09-16,Jacatra
91268,outward,Oranjeboom,360,Rotterdam,1619-01-25,Goeree,1619-04,1619-04,1619-08-07,Jacatra
91269,outward,Amsterdam,800,Amsterdam,1619-01-27,Texel,1619-05-20,1619-06-08,1619-09-03,Bantam
91270,outward,Wapen Van Zeeland,700,Zeeland,1619-01-27,Wielingen,nan,nan,1619-08-07,Bantam
91271,outward,Witte Beer,300,Amsterdam,1619-05-13,Texel,nan,nan,1620-01-28,Bantam
91272,outward,Eendracht,700,Amsterdam,1619-05-13,Texel,1619-11-19,1619-11-26,1620-03-22,Jacatra
91273,outward,Goede Fortuin,700,Amsterdam,1619-05-13,Texel,1620-01-05,1620-02-25,1620-07-27,Jacatra
91274,outward,Ter Tholen,400,Zeeland,1619-05-16,Wielingen,nan,nan,1619-11-20,Bantam
91275,outward,Walcheren,500/600,Zeeland,1619-05-16,Wielingen,nan,nan,1619-12-01,Bantam
91276,outward,Vrede,340,Amsterdam,1619-09-14,Texel,nan,nan,1620-06-03,Bantam
91277,outward,Wapen Van Enkhuizen,700,Enkhuizen,1619-12-26,Texel,1620-06-05,1620-07-05,1620-09-16,Jacatra
91278,outward,Hollandia,700,Amsterdam,1619-12-26,Texel,1620-05-06,1620-07-05,1620-12-08,Jacatra
91279,outward,Leiden,700,Amsterdam,1619-12-26,Texel,1620,1620-07-05,1620-12-15,Jacatra
91280,outward,Medemblik,300,Hoorn,1619-12-26,Texel,1620,1620-07-05,1620-09-11,Jacatra
91281,outward,Wapen Van Hoorn,400/600,Hoorn,1619-12-27,Texel,1620,1620-07-05,1620-12-08,Jacatra
91282,outward,Mauritius,800,Amsterdam,1619-12-28,Texel,1620,1620-07-05,1620-12-08,Jacatra
91283,outward,Schoonhoven,400,Amsterdam,1619-12-27,Texel,1620,1620-07-05,1620-12-14,Negapatnam
91284,outward,Zierikzee,800,Zeeland,1619-12-28,Wielingen,1620,1620-07-05,1620-12-16,Jacatra
91285,outward,Groningen,700,Amsterdam,1620-01-01,Texel,1620,1620-07-05,1620-11-25,Jacatra
91286,outward,Muiden,160,Amsterdam,1620-02-27,Texel,1620-12,1620-12,1621-02-26,Jacatra
91287,outward,Schiedam,360,Delft,1620-04-08,Goeree,nan,nan,1620-10-11,Jacatra
91288,outward,Weesp,160,Amsterdam,1620-04-10,Texel,1620-12,1620-12,1621-02-26,Jacatra
91289,outward,Delft,800,Rotterdam,1620-04-23,Goeree,1620-08,1620-08,1620-12-26,Jacatra
91290,outward,Oranje,360,Rotterdam,1620-04-23,Goeree,1620-08,1620-08,1620-12-26,Jacatra
91291,outward,Noord-Holland,600,Amsterdam,1620-05-10,Texel,1620-12,nan,1621-05-27,Jacatra
91292,outward,Zuid-Holland,600,Amsterdam,1620-05-10,Texel,nan,nan,1621-05-27,Jacatra
91293,outward,Bruinvis,50,Amsterdam,1620-05-24,Texel,1620-12,nan,nan,Batavia
91294,outward,Eenhoorn,300,Amsterdam,1620-05-24,Texel,1620-12,nan,1621-02-22,Amboina
91295,outward,Heilbot,100,Amsterdam,1620-05-24,Texel,nan,1632,1621-03-22,Amboina
91296,outward,Middelburg,700,Zeeland,1620-05-25,Wielingen,nan,nan,1621-02-11,Jacatra
91297,outward,Purmerend,200,Hoorn,1620-05-25,Texel,nan,nan,1621-06-07,Jacatra
91298,outward,Alkmaar,600,Enkhuizen,1620-06-02,Texel,nan,nan,1621-06-24,Jacatra
91299,outward,Haring,180,Enkhuizen,1620-12-27,Texel,1621-05-20,nan,1621-08-31,Jacatra
91300,outward,Zwarte Beer,320,Amsterdam,1620-12-28,Texel,1621-05-21,nan,1621-08-20,Jacatra
91301,outward,Wapen Van Delft,700,Delft,1620-12-28,Goeree,nan,nan,1621-08-03,Jacatra
91302,outward,Gouda,800,Amsterdam,1620-12-28,Texel,1621-05-20,nan,1621-08-31,Jacatra
91303,outward,Hazewind,120,Hoorn,1620-12-28,Texel,1621-06-04,nan,1621-09-17,Jacatra
91304,outward,Naarden,180,Amsterdam,1620-12-28,Texel,nan,nan,1621-06-24,Pulicat
91305,outward,Dordrecht,600,Amsterdam,1620-12-29,Texel,nan,nan,1621-06-24,Pulicat
91306,outward,Haan,150,Amsterdam,1620-12-31,Texel,1621-06-04,nan,1621-08-23,Jacatra
91307,outward,Valk,120,Amsterdam,1620-12-31,Texel,1621-06-04,nan,1621-08-23,Jacatra
91308,outward,Westfriesland,800,Zeeland,1621-02-11,Wielingen,nan,nan,1621-10-13,Batavia
91309,outward,Arnemuiden,180,Zeeland,1621-03-19,Wielingen,nan,nan,1621-09-29,Batavia
91310,outward,Oranjeboom,360,Zeeland,1621-03-19,Wielingen,nan,nan,1621-09-16,Batavia
91311,outward,Westkapelle,60,Zeeland,1621-03-19,Wielingen,nan,nan,1621-09-05,Batavia
91312,outward,Gouden Leeuw,550,Rotterdam,1621-04-19,Goeree,nan,nan,1621-08-23,Batavia
91313,outward,Leeuwin,400,Amsterdam,1621-04-20,Texel,nan,nan,1622-05-15,Batavia
91314,outward,Witte Beer,300,Amsterdam,1621-10-01,Texel,nan,nan,1622-05-26,Pulicat
91315,outward,Vrede,340,Amsterdam,1621-10-01,Texel,1622-01-24,nan,1622-05-26,Pulicat
